id,timestamp,url,tweet,replies,retweets,quotes,likes
1316487694818500608,2020-10-14 21:15,https://twitter.com/JoeBiden/status/1316487694818500608,Rhode Island and Tennessee — early voting has officially started. Join millions of people across the country and vote early today. https://t.co/eoxT07uII9,2367,2959,181,14018
1316478131788746756,2020-10-14 20:37,https://twitter.com/JoeBiden/status/1316478131788746756,Don't throw away your shot to spend Friday night with the original cast of Hamilton. Chip in today to reserve your spot: https://t.co/utKe7y9Jg5 https://t.co/QkyGHlTYsl,1796,3310,182,15907
1316463787579502596,2020-10-14 19:40,https://twitter.com/JoeBiden/status/1316463787579502596,"Today would have been George Floyd’s 47th birthday, and he should be alive to celebrate it.

I made a promise to his family that I won’t let him become just another hashtag — and I’ll work every day as president to keep that promise.",9277,28454,1364,198665
1316446172521795584,2020-10-14 18:30,https://twitter.com/JoeBiden/status/1316446172521795584,"Tonight, our campaign will close our books and send in the names of our grassroots supporters for the final time. 

Chip in to make sure you’re on the list: https://t.co/ff1FGgz3yE",3027,2314,175,10530
1316438873405190145,2020-10-14 18:01,https://twitter.com/JoeBiden/status/1316438873405190145,"Virginia — your voter registration deadline has been extended! Head to https://t.co/fnQjqg1By6 to get registered online before 11:59 PM on Thursday, October 15.",1615,5284,185,17778
1316417230670721024,2020-10-14 16:35,https://twitter.com/JoeBiden/status/1316417230670721024,"Donald Trump wants to destroy Obamacare.

I want to protect and build on it.

It’s that simple, folks.",15168,23455,1742,167964
1316402131197452288,2020-10-14 15:35,https://twitter.com/JoeBiden/status/1316402131197452288,"If President Trump is successful in forcing through his nominee to the U.S. Supreme Court, it will likely repeal the ACA and 100 million Americans with pre-existing conditions will lose their protections.
 
Vote like your health care depends on it. Because it does. https://t.co/XgY2aGRZq2",3889,6267,388,22254
1316393826789937152,2020-10-14 15:02,https://twitter.com/JoeBiden/status/1316393826789937152,Kansas –– you can advance vote in many counties starting today. Head to https://t.co/UXWStEl2zn to find all the info you need to cast your ballot in this election.,1978,3246,156,12846
1316386276572975109,2020-10-14 14:32,https://twitter.com/JoeBiden/status/1316386276572975109,"Wisconsin — today is your last day to register to vote online or by mail. Apply online by 11:59 PM or make sure your mail application is postmarked by today. 

Don’t let history repeat itself.

Head to https://t.co/YtDgQAoMCh to register now. https://t.co/k9pZKeAW2b",1590,5081,267,16440
1316369918774968322,2020-10-14 13:27,https://twitter.com/JoeBiden/status/1316369918774968322,20 days.,18956,27202,3358,279595
1316189479544279041,2020-10-14 01:30,https://twitter.com/JoeBiden/status/1316189479544279041,"Thank you, Florida! https://t.co/liQYRmvY7J",17159,18016,3424,156450
1316178155510652929,2020-10-14 00:45,https://twitter.com/JoeBiden/status/1316178155510652929,I’ll be a president for all Americans. Not just the ones who vote for me.,24900,40479,3903,406494
1316163055760232449,2020-10-13 23:45,https://twitter.com/JoeBiden/status/1316163055760232449,"Folks, it’s hard to believe, but tomorrow night marks our final public fundraising deadline of the campaign.

Can you chip in to help us post our strongest numbers yet? https://t.co/OZNNVP6VM6",2122,2870,183,10850
1316155757511966721,2020-10-13 23:16,https://twitter.com/JoeBiden/status/1316155757511966721,"Here's something that will be very different if I'm president: I'll actually listen to Dr. Fauci's advice and expertise, not attack him for telling the truth. https://t.co/RCXV5gtSbw",3730,16566,605,104869
1316147956689575936,2020-10-13 22:45,https://twitter.com/JoeBiden/status/1316147956689575936,"We all know President Trump has a tendency to stray from the truth, so let's set the record straight. https://t.co/hMtEkvECQR",3081,11935,886,35369
1316137386628313088,2020-10-13 22:03,https://twitter.com/JoeBiden/status/1316137386628313088,"The election is already underway.

Millions of Americans are voting. 

And they deserve to have their voices heard when it comes to who serves on the U.S. Supreme Court.",5335,14443,606,86952
1316126788972552192,2020-10-13 21:20,https://twitter.com/JoeBiden/status/1316126788972552192,"With just three weeks until Election Day, I’m in Miramar, Florida, to encourage folks to make their plan to vote. Tune in — and then head to https://t.co/uoiVh9HPb8 to make your plan today. https://t.co/5xzlVvl8xe",1108,2121,107,9698
1316110207366250496,2020-10-13 20:15,https://twitter.com/JoeBiden/status/1316110207366250496,"215,000 Americans have died from COVID-19 on Donald Trump’s watch. 

It’s the greatest failure of presidential leadership in our nation’s history.",8811,25360,1287,138376
1316090743925030912,2020-10-13 18:57,https://twitter.com/JoeBiden/status/1316090743925030912,"I’m in Pembroke Pines, Florida, to discuss my plans to protect and strengthen Social Security and ensure every American can retire with dignity. Tune in. https://t.co/Yo5dzpgDyZ",1776,3024,191,13156
